,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
180452,124548.0,2.03497836713122,0.0696152931228199,-1.74205174511808,0.549020025808004,0.0370471437013531,-1.47726374376355,0.159534715141039,-0.28101052202906,0.831830652383029,-0.436114713539199,-0.572373588026425,-0.769389959633459,-1.61095324426956,-0.402197215983421,1.12197911365411,0.219993404000481,0.544866335067232,0.60884575607868,-0.495642661779933,-0.30266862867685,0.186857946597857,0.630339194953376,-3.44878151010697e-05,-0.120547641050369,0.181591832160053,-0.0936316268774508,-0.0108726652906616,-0.0340160401557465,9.8,0
180370,124510.0,-4.00070251345903,-0.820998770283339,-0.0145251531386179,-0.44597636236559,-0.288004153284333,-0.424646144380458,0.335807624990003,0.801679723721774,0.542091928766985,-0.871386875830559,-1.3249346446571,0.493093568709284,0.211760526485531,0.196659075790672,-0.0770072376999683,0.283101924586046,-0.0669333861402191,-0.433235989811589,0.363267933753368,-0.188981443521038,-0.600739687258476,-1.33853672485804,0.182561818965392,0.669819740746456,0.645897424405737,-0.291115563652851,0.328689009549009,-0.0373329060280236,132.99,0
97729,66359.0,-2.14734575249704,0.630897343106798,0.585434730236109,1.27119111402334,-0.459208295304629,1.02834315960756,-0.804248837214473,-2.0133701347787,-1.21487683428359,-0.653617392038897,1.08316750515729,1.32557793654348,0.685247899918178,0.969392487990664,0.887552986739624,0.23775205613442,-0.0295642164256583,0.351905584149765,0.496315417911559,0.744692246677734,-1.19468465151829,0.626263106570948,-0.0244870778661712,-0.277983050479893,-0.398884453592531,-0.363567232843481,0.521734980176218,-0.126589793779483,200.0,0
281681,170356.0,-4.02376793708714,3.30403127118664,-1.07429942477669,-2.0658043720341,0.0547288493395019,-1.0707832412477,0.552413606997701,0.611579869965976,0.865762455454775,0.999847231733153,-1.56005314997514,0.614274738815965,1.11547813951582,0.0902225567383389,-0.203193105273377,0.413046071413211,-0.960720140745638,-0.0202524982986536,-1.33492836983271,0.329131373827726,0.15439351118867,0.458651005631684,-0.50263958259773,-0.632266864351194,1.69599670923762,-0.193759349801963,-0.638280039250621,0.0589732233256678,2.38,0
155986,106930.0,1.89866410785994,-0.614746997189088,-0.678396332038122,-0.375453349623223,0.211611949443591,1.27077385826063,-0.937444028597506,0.349499097102491,2.17059501720002,-0.400409241777184,1.95881223614096,-1.29203241727179,2.10124099269424,1.47166530707276,-0.144605066776878,-0.196884765150387,0.650772850974761,-0.698445978572808,-0.764758598919357,-0.223916787068971,0.0292140888978381,0.575824438974376,0.213101185697623,-1.59380126769565,-0.607636665150778,1.32092753249112,-0.0695796408549594,-0.0924875101965589,18.04,0
252764,155961.0,-0.265422850946771,0.984446554893457,0.19230467523644,-0.242340106942275,0.764958499357376,-0.454398746690749,0.882793726338409,-0.216984521293901,-0.518769572754189,-0.0585555580942133,0.687016713653432,0.586244506479208,0.263997740280638,0.548447798341435,0.296552314213814,-0.487620496599669,-0.517819318059735,0.706495419289897,1.12466229169106,-0.0266447166169206,0.43331310876933,1.27414447499296,-0.357261541882575,-0.33648302553095,-0.249858468860888,-0.0334955849454163,-0.0883413707976686,0.188373990843217,2.28,0
33781,37387.0,-2.48663172196275,-0.588973086681444,1.58206305399753,1.88920475619237,0.257309077990318,1.01776723512444,-1.08467490421607,0.958782103502488,0.684959019684252,-0.0266635426960231,0.561637046818132,1.28988550238906,-0.837247717548905,-0.278031542410024,-1.64970039558577,-1.58549137681916,1.31679700328041,-0.96985241742787,1.27165926344056,-0.409274084801509,-0.279504260909257,-0.283234172956153,-0.379100045383837,-0.23438470930904,-0.638007644207065,-0.521703489950374,-0.624520190174353,-0.444468095388646,10.5,0
94629,64961.0,1.45923964912943,-0.673538130567177,-1.36967193624162,-1.75366866881216,1.54125800986149,3.11879531057836,-0.890677989251979,0.706289862167551,-1.07946352855358,0.756257783283116,-0.262978474719323,-0.306593759887572,0.32436035383459,0.27936869723546,1.02511659814845,-1.00807155196696,-0.519159355704592,1.30745800247959,-0.38720108737785,-0.346662645969832,-0.439101293240291,-0.926587495518989,0.007846604312055,1.03546924957945,0.437179827169894,1.0553677525475,-0.0629575619982837,-0.0017709967874656,8.9,0
221407,142559.0,1.80888580120365,-0.699901907453964,-1.41192659426633,-0.101255637515896,0.479881645809919,1.04899977221234,-0.329081096024142,0.385854690743167,1.04604209477172,-0.162235115444438,0.610352962401577,0.6651570526803,-1.32432601827821,0.591344127646303,-0.0351976285595531,-0.941151749922794,0.316977202521436,-1.13917460285594,-0.195139696583259,-0.272403055743338,-0.0555865830838366,-0.0084155373014661,0.175069087885377,-1.64714073823403,-0.286039921996293,0.0215267139045696,0.0024246770903611,-0.0761251316043972,60.0,0
105345,69478.0,0.372481815459675,1.88093123235898,-2.07103351812589,1.60007836641665,0.822477302249996,-1.2442964765513,0.445544371361482,0.39556773734899,-0.847626042293305,-1.29806704525026,2.73563690849092,0.547343909209009,0.0941101822613084,-3.04527688648401,0.540607433924376,0.786795556983513,3.07468005459405,1.48696988210217,-0.564856764136291,-0.021427519083672,-0.0092196064781106,0.117239590642363,0.172163692243499,-0.113353201873915,-0.554774741011086,-0.400162665473937,0.147751986886601,-0.0579154011299258,0.89,0
71580,54348.0,1.04881034516618,-0.639116174021191,0.738993694848591,0.005862498306082,-0.73133129322458,0.464592329037285,-0.571505078074213,0.163475303343726,0.818415249912235,-0.358502117340051,0.362574939764365,1.60545271959538,1.19593510317252,-0.615163194447203,-1.05771428473788,0.275096717765637,-0.468751173602641,0.0034586752242342,1.0291721060549,0.22128955569527,-0.167254075452709,-0.406346435094426,-0.129981668455829,-0.386765869764743,0.221021060077888,0.962876794757251,-0.0485166417460513,0.0142848957420845,100.96,0
52687,45590.0,-0.583687814625754,0.41960667544332,1.57960063822218,-0.7619413973382,0.208747759388034,-0.528381566208095,0.307385905673687,0.147813563947528,-0.569619100393323,-0.487795740029642,1.62987395063773,0.55330509468491,-0.467098348814288,0.471507662420844,0.474077343616117,-0.0198484046032011,-0.159663462717705,-0.280935820485777,0.115419030928856,-0.0010092843583675,0.103823331524858,0.197753800501585,-0.0163868196985913,0.271056091230115,-0.564665279476438,0.889219271286341,0.0354550131692786,0.111044966408601,0.77,0
